image_name,steering_angle
1479425441182877835.pgm,-0.0169280299
1479425441232704425.pgm,-0.0157079641
1479425441282730750.pgm,-0.0157079641
1479425441332806714.pgm,-0.0157079641
1479425441382790272.pgm,-0.0157079641
1479425441432724303.pgm,-0.0174532924
1479425441482746958.pgm,-0.0191986226
1479425441532802506.pgm,-0.0205366132
1479425441582725165.pgm,-0.0231369965
1479425441632720892.pgm,-0.0292430744
1479425441682732948.pgm,-0.0410089295
1479425441732800574.pgm,-0.0514905582
1479425441782737331.pgm,-0.0541052073
1479425441832816004.pgm,-0.0541052073
1479425441882830087.pgm,-0.0541052073
1479425441932849879.pgm,-0.0541052073
1479425441982783223.pgm,-0.052359879
1479425442032874172.pgm,-0.052359879
1479425442082758552.pgm,-0.0519790866
1479425442132852121.pgm,-0.0476152155
1479425442182761838.pgm,-0.0411586389
1479425442232828524.pgm,-0.0336691473
1479425442282862682.pgm,-0.029670598
1479425442332893792.pgm,-0.029670598
1479425442382858459.pgm,-0.029670598
1479425442432797491.pgm,-0.029670598
1479425442482899263.pgm,-0.029670598
1479425442532771570.pgm,-0.029670598
1479425442582809345.pgm,-0.029670598
1479425442632821093.pgm,-0.029670598
1479425442682747552.pgm,-0.0279252678
1479425442732806572.pgm,-0.029080314
1479425442782862182.pgm,-0.0314159282
1479425442832833025.pgm,-0.0314159282
1479425442882822631.pgm,-0.0299389934
1479425442932809867.pgm,-0.0325501976
1479425442982805056.pgm,-0.0331612565
1479425443032823520.pgm,-0.0331612565
1479425443082812203.pgm,-0.0349065848
1479425443132827444.pgm,-0.0349065848
1479425443182854411.pgm,-0.04582845
1479425443232861030.pgm,-0.052359879
1479425443282879357.pgm,-0.0469072108
1479425443332896491.pgm,-0.0408051948
1479425443382879593.pgm,-0.039941745
1479425443432903742.pgm,-0.0383972451
1479425443483016593.pgm,-0.0381990092
1479425443533017775.pgm,-0.0327786357
1479425443582977575.pgm,-0.0277464049
1479425443632945821.pgm,-0.0244346093
1479425443682982187.pgm,-0.022689281
1479425443732869219.pgm,-0.0199251331
1479425443782898808.pgm,-0.0191986226
1479425443833012205.pgm,-0.0191986226
1479425443882914607.pgm,-0.019068693
1479425443933132143.pgm,-0.0174532924
1479425443983182782.pgm,-0.0174532924
1479425444033115695.pgm,-0.0191986226
1479425444083198332.pgm,-0.0191986226
1479425444133127546.pgm,-0.0191986226
1479425444183146275.pgm,-0.0191986226
1479425444233201168.pgm,-0.0209439509
1479425444283138737.pgm,-0.0209439509
1479425444333229360.pgm,-0.0219077666
1479425444383185181.pgm,-0.022689281
1479425444434593057.pgm,-0.022689281
1479425444483190972.pgm,-0.022689281
1479425444533172421.pgm,-0.0253607554
1479425444583259948.pgm,-0.0332155079
1479425444633286162.pgm,-0.0349065848
1479425444683294213.pgm,-0.0349065848
1479425444733253036.pgm,-0.0384293116
1479425444783291032.pgm,-0.0418840403
1479425444833288592.pgm,-0.046245502
1479425444883283220.pgm,-0.0540889633
1479425444933328937.pgm,-0.0636709502
1479425444983260437.pgm,-0.0698131695
1479425445033271766.pgm,-0.0698131695
1479425445083281310.pgm,-0.0680678412
1479425445133336475.pgm,-0.0680678412
1479425445183328558.pgm,-0.0712808155
1479425445233404698.pgm,-0.0784908104
1479425445283448582.pgm,-0.0872027431
1479425445333367499.pgm,-0.0933303219
1479425445383326348.pgm,-0.0959367873
1479425445433499090.pgm,-0.095993109
1479425445483382125.pgm,-0.095993109
1479425445533489877.pgm,-0.095993109
1479425445583437918.pgm,-0.095993109
1479425445633423016.pgm,-0.095993109
1479425445683329266.pgm,-0.095993109
1479425445733403939.pgm,-0.095993109
